service_id,date,exception_type
13,20130729,1
13,20130730,1
13,20130731,1
13,20130801,1
13,20130802,1
13,20130805,1
13,20130806,1
13,20130807,1
13,20130808,1
13,20130809,1
13,20130812,1
13,20130813,1
13,20130814,1
13,20130815,1
13,20130816,1
13,20130819,1
13,20130820,1
13,20130821,1
13,20130822,1
13,20130823,1
13,20130826,1
13,20130827,1
13,20130828,1
13,20130829,1
13,20130903,1
13,20130904,1
13,20130905,1
13,20130906,1
13,20130909,1
13,20130910,1
13,20130911,1
13,20130912,1
13,20130913,1
13,20130916,1
13,20130917,1
13,20130918,1
13,20130919,1
13,20130920,1
13,20130923,1
13,20130924,1
13,20130925,1
13,20130926,1
13,20130927,1
13,20130930,1
14,20130404,1
14,20130405,1
14,20130408,1
14,20130409,1
14,20130410,1
14,20130411,1
14,20130412,1
14,20130415,1
14,20130416,1
14,20130417,1
14,20130418,1
14,20130419,1
14,20130422,1
14,20130423,1
14,20130424,1
14,20130425,1
14,20130426,1
14,20130429,1
14,20130430,1
14,20130501,1
14,20130502,1
14,20130503,1
14,20130506,1
14,20130507,1
14,20130508,1
14,20130509,1
14,20130510,1
14,20130513,1
14,20130514,1
14,20130515,1
14,20130516,1
14,20130517,1
14,20130520,1
14,20130521,1
14,20130522,1
14,20130523,1
14,20130524,1
14,20130527,1
14,20130528,1
14,20130529,1
14,20130530,1
14,20130531,1
14,20130603,1
14,20130604,1
14,20130605,1
14,20130606,1
14,20130607,1
14,20130610,1
14,20130611,1
14,20130612,1
14,20130613,1
14,20130614,1
14,20130617,1
14,20130618,1
14,20130619,1
14,20130620,1
14,20130621,1
14,20130624,1
14,20130625,1
14,20130626,1
14,20130627,1
14,20130628,1
14,20130701,1
14,20130702,1
14,20130704,1
14,20130705,1
14,20130708,1
14,20130709,1
14,20130710,1
14,20130711,1
14,20130712,1
14,20130715,1
14,20130716,1
14,20130717,1
14,20130718,1
14,20130719,1
14,20130722,1
14,20130723,1
14,20130724,1
14,20130725,1
14,20130726,1
14,20130729,1
14,20130730,1
14,20130731,1
14,20130801,1
14,20130802,1
14,20130805,1
14,20130806,1
14,20130807,1
14,20130808,1
14,20130809,1
14,20130812,1
14,20130813,1
14,20130814,1
14,20130815,1
14,20130816,1
14,20130819,1
14,20130820,1
14,20130821,1
14,20130822,1
14,20130823,1
14,20130826,1
14,20130827,1
14,20130828,1
14,20130829,1
14,20130830,1
14,20130902,1
14,20130903,1
14,20130904,1
14,20130905,1
14,20130906,1
14,20130909,1
14,20130910,1
14,20130911,1
14,20130912,1
14,20130913,1
14,20130916,1
14,20130917,1
14,20130918,1
14,20130919,1
14,20130920,1
14,20130923,1
14,20130924,1
14,20130925,1
14,20130926,1
14,20130927,1
14,20130930,1
15,20130405,1
15,20130412,1
15,20130419,1
15,20130426,1
15,20130503,1
15,20130510,1
15,20130517,1
15,20130524,1
15,20130531,1
15,20130607,1
15,20130614,1
15,20130621,1
15,20130628,1
15,20130703,1
15,20130705,1
15,20130712,1
15,20130719,1
15,20130726,1
15,20130802,1
15,20130809,1
15,20130816,1
15,20130823,1
15,20130830,1
15,20130906,1
15,20130913,1
15,20130920,1
15,20130927,1
16,20130404,1
16,20130408,1
16,20130409,1
16,20130410,1
16,20130411,1
16,20130415,1
16,20130416,1
16,20130417,1
