route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
14,2,3694,"PRINCETON JCT.",0,"4122",1136
14,2,3695,"PRINCETON JCT.",0,"4124",1137
14,2,3696,"PRINCETON JCT.",0,"4126",1138
14,2,3697,"PRINCETON JCT.",0,"4128",1139
14,2,3698,"PRINCETON JCT.",0,"4132",1140
14,2,3699,"PRINCETON JCT.",0,"4134",1141
14,2,3700,"PRINCETON JCT.",0,"4136",1142
14,2,3701,"PRINCETON JCT.",0,"4138",1143
14,2,3702,"PRINCETON JCT.",0,"4140",1144
14,2,3703,"PRINCETON JCT.",0,"4142",1145
14,2,3704,"PRINCETON JCT.",0,"4144",1146
14,2,3705,"PRINCETON JCT.",0,"4146",1147
14,2,3706,"PRINCETON JCT.",0,"4148",1148
14,2,3707,"PRINCETON JCT.",0,"4150",1149
14,2,3708,"PRINCETON JCT.",0,"4152",1150
14,2,3709,"PRINCETON JCT.",0,"4154",1151
14,2,3710,"PRINCETON JCT.",0,"4156",1152
14,2,3711,"PRINCETON JCT.",0,"4158",1153
14,2,3712,"PRINCETON JCT.",0,"4160",1154
14,2,3713,"PRINCETON JCT.",0,"4162",1155
14,2,3714,"PRINCETON JCT.",0,"4164",1156
14,2,3715,"PRINCETON JCT.",0,"4166",1157
14,2,3716,"PRINCETON JCT.",0,"4168",1158
14,2,3717,"PRINCETON JCT.",0,"4170",1159
14,2,3718,"PRINCETON JCT.",0,"4172",1160
14,2,3719,"PRINCETON JCT.",0,"4174",1161
14,2,3720,"PRINCETON JCT.",0,"4176",1162
14,2,3721,"PRINCETON JCT.",0,"4178",1163
14,2,3722,"PRINCETON JCT.",0,"4180",1164
14,2,3723,"PRINCETON JCT.",0,"4182",1165
14,2,3724,"PRINCETON JCT.",0,"4100",1166
14,2,3725,"PRINCETON JCT.",0,"4102",1167
14,2,3726,"PRINCETON JCT.",0,"4104",1168
14,3,3727,"PRINCETON JCT.",0,"4200",1169
14,3,3728,"PRINCETON JCT.",0,"4202",1170
14,3,3729,"PRINCETON JCT.",0,"4220",1171
14,3,3730,"PRINCETON JCT.",0,"4222",1172
14,3,3731,"PRINCETON JCT.",0,"4224",1173
14,3,3732,"PRINCETON JCT.",0,"4226",1174
14,3,3733,"PRINCETON JCT.",0,"4228",1175
14,3,3734,"PRINCETON JCT.",0,"4230",1176
14,3,3735,"PRINCETON JCT.",0,"4232",1177
14,3,3736,"PRINCETON JCT.",0,"4234",1178
14,3,3737,"PRINCETON JCT.",0,"4236",1179
14,3,3738,"PRINCETON JCT.",0,"4238",1180
14,3,3739,"PRINCETON JCT.",0,"4242",1181
14,3,3740,"PRINCETON JCT.",0,"4244",1182
14,3,3741,"PRINCETON JCT.",0,"4246",1183
14,3,3742,"PRINCETON JCT.",0,"4248",1184
14,3,3743,"PRINCETON JCT.",0,"4254",1185
14,3,3744,"PRINCETON JCT.",0,"4256",1186
14,3,3745,"PRINCETON JCT.",0,"4258",1187
14,3,3746,"PRINCETON JCT.",0,"4260",1188
14,3,3747,"PRINCETON JCT.",0,"4262",1189
14,3,3748,"PRINCETON JCT.",0,"4264",1190
14,3,3749,"PRINCETON JCT.",0,"4266",1191
14,3,3750,"PRINCETON JCT.",0,"4268",1192
14,3,3751,"PRINCETON JCT.",0,"4270",1193
14,3,3752,"PRINCETON JCT.",0,"4272",1194
14,3,3753,"PRINCETON JCT.",0,"4274",1195
14,3,3754,"PRINCETON JCT.",0,"4276",1196
14,3,3755,"PRINCETON JCT.",0,"4278",1197
14,2,3756,"PRINCETON",1,"4105",1198
14,2,3757,"PRINCETON",1,"4107",1199
14,2,3758,"PRINCETON",1,"4109",1200
14,2,3759,"PRINCETON",1,"4111",1201
14,2,3760,"PRINCETON",1,"4113",1202
14,2,3761,"PRINCETON",1,"4115",1203
14,2,3762,"PRINCETON",1,"4117",1204
14,2,3763,"PRINCETON",1,"4119",1205
14,2,3764,"PRINCETON",1,"4121",1206
14,2,3765,"PRINCETON",1,"4123",1207
14,2,3766,"PRINCETON",1,"4125",1208
14,2,3767,"PRINCETON",1,"4127",1209
14,2,3768,"PRINCETON",1,"4131",1210
14,2,3769,"PRINCETON",1,"4133",1211
14,2,3770,"PRINCETON",1,"4135",1212
14,2,3771,"PRINCETON",1,"4137",1213
14,2,3772,"PRINCETON",1,"4139",1214
14,2,3773,"PRINCETON",1,"4141",1215
14,2,3774,"PRINCETON",1,"4143",1216
14,2,3775,"PRINCETON",1,"4145",1217
14,2,3776,"PRINCETON",1,"4147",1218
